Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%),Rowing Time (s)
2025-11-24,l_zigs,1:33,18.49,14.18,57.55,85.90
2025-11-24,l_zigs,2:06,20.58,21.64,43.09,124.48
2025-11-24,l_zigs,0:09,0.01,0.00,0.00,0.00
