Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%),Rowing Time (s)
2025-11-24,hikaru_final,0:21,23.67,4.25,16.64,19.83
2025-11-24,hikaru_final,0:07,34.48,2.09,0.00,5.69
2025-11-24,hikaru_final,0:08,12.36,0.85,0.00,6.59
2025-11-24,hikaru_final,2:02,31.88,32.40,71.27,121.09
2025-11-24,hikaru_final,0:28,33.89,7.96,69.39,27.02
