Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%),Rowing Time (s)
2025-11-24,katherinec,1:07,19.59,10.93,47.23,66.10
2025-11-24,katherinec,2:01,33.17,33.69,50.46,120.00
